wl,n
0.3100,1.5539233467171
0.3529,1.5444188160462
0.3958,1.5377943708226
0.4387,1.53297644448
0.4816,1.5293470967242
0.5245,1.5265302298432
0.5674,1.5242862988783
0.6103,1.5224568649146
0.6532,1.5209337417404
0.6961,1.5196410153786
0.7390,1.5185241450581
0.7819,1.5175431287183
0.8248,1.5166680887001
0.8677,1.515876345512
0.9106,1.5151504328084
0.9535,1.5144767228468
0.9964,1.5138444569151
1.039,1.5132491442474
1.082,1.5126742062569
1.125,1.5121197035108
1.168,1.5115809892876
1.211,1.5110542269085
1.254,1.5105362260091
1.297,1.5100243161568
1.340,1.5095162483895
1.383,1.50901011784
1.425,1.5085160727976
1.468,1.5080092235501
1.511,1.5075001334071
1.554,1.5069877679718
1.597,1.5064712302038
1.640,1.5059497390991
1.683,1.5054226121336
1.726,1.5048892507288
1.769,1.5043491281606
1.812,1.5038017794514
1.854,1.503259789112
1.897,1.5026969890414
1.940,1.5021258670852
1.983,1.5015461318092
2.026,1.5009575223743
2.069,1.5003598047618
2.112,1.4997527685307
2.155,1.4991362240238
2.198,1.498509999952
2.241,1.4978739413002
2.283,1.4972430458197
2.326,1.4965871455006
2.369,1.4959210287082
2.412,1.4952445892608
2.455,1.4945577301934
2.498,1.4938603628144
2.541,1.4931524058725
2.584,1.49243378482
2.627,1.49170443116
2.670,1.4909642818667
2.712,1.4902308677348
2.755,1.4894692116907
2.798,1.4886965999799
2.841,1.4879129867424
2.884,1.4871183295115
2.927,1.4863125889166
2.970,1.4854957284165
3.013,1.4846677140586
3.056,1.4838285142623
3.099,1.4829780996223
3.141,1.4821366091427
3.184,1.4812639467524
3.227,1.4803799932016
3.270,1.479484726137
3.313,1.4785781246463
3.356,1.4776601691481
3.399,1.476730841292
3.442,1.4757901238665
3.485,1.4748380007153
3.528,1.4738744566608
3.570,1.4729222813458
3.613,1.471936119913
3.656,1.4709384975263
3.699,1.4699294022586
3.742,1.4689088228641
3.785,1.467876748732
3.828,1.4668331698444
3.871,1.4657780767365
3.914,1.4647114604605
3.957,1.4636333125522
3.999,1.4625690976899
4.042,1.4614681315292
4.085,1.4603556111086
4.128,1.4592315296015
4.171,1.4580958805312
4.214,1.4569486577497
4.257,1.4557898554182
4.300,1.4546194679881
4.343,1.4534374901842
4.386,1.4522439169887
4.428,1.4510669026967
4.471,1.449850394547
4.514,1.4486222774501
4.557,1.4473825472731
4.600,1.4461312000756

wl,k
0.31,4.996E-5
0.32,1.375E-5
0.33,6.281E-6
0.34,2.713E-6
0.35,1.118E-6
0.36,5.419E-7
0.37,4.061E-7
0.38,5.936E-7
0.39,2.828E-7
0.40,2.047E-7
0.41,2.182E-7
0.42,2.279E-7
0.43,2.397E-7
0.44,2.342E-7
0.45,1.925E-7
0.46,1.669E-7
0.47,1.700E-7
0.48,1.683E-7
0.49,1.554E-7
0.50,1.492E-7
0.51,1.499E-7
0.52,1.582E-7
0.53,1.769E-7
0.54,1.988E-7
0.55,2.200E-7
0.56,2.529E-7
0.57,3.051E-7
0.58,3.563E-7
0.59,4.003E-7
0.60,4.548E-7
0.61,5.217E-7
0.62,5.972E-7
0.63,6.913E-7
0.64,7.754E-7
0.65,8.371E-7
0.66,9.108E-7
0.67,1.009E-6
0.68,1.097E-6
0.69,1.159E-6
0.70,1.234E-6
0.71,1.349E-6
0.72,1.466E-6
0.73,1.585E-6
0.74,1.706E-6
0.75,1.830E-6
0.76,1.956E-6
0.77,2.085E-6
0.78,2.214E-6
0.79,2.345E-6
0.80,2.477E-6
0.81,2.617E-6
0.82,2.755E-6
0.83,2.890E-6
0.84,3.022E-6
0.85,3.150E-6
0.86,3.274E-6
0.87,3.394E-6
0.88,3.510E-6
0.89,3.621E-6
0.90,3.727E-6
0.91,3.817E-6
0.92,3.906E-6
0.93,3.995E-6
0.94,4.083E-6
0.95,4.170E-6
0.96,4.261E-6
0.97,4.349E-6
0.98,4.433E-6
0.99,4.514E-6
1.00,4.591E-6
1.10,5.111E-6
1.20,5.374E-6
1.30,5.353E-6
1.40,4.939E-6
1.50,4.234E-6
1.60,3.675E-6
1.70,3.656E-6
1.80,3.920E-6
1.90,4.190E-6
2.00,4.423E-6
2.10,4.476E-6
2.20,5.373E-6
2.30,5.082E-6
2.40,5.372E-6
2.50,6.324E-6
2.60,6.883E-6
2.70,1.020E-5
2.80,6.495E-5
2.90,7.931E-5
3.00,7.432E-5
3.10,7.424E-5
3.20,8.187E-5
3.30,9.341E-5
3.40,9.958E-5
3.50,1.065E-4
3.60,1.073E-4
3.70,1.049E-4
3.80,1.029E-4
3.90,1.033E-4
4.00,1.060E-4
4.10,1.222E-4
4.20,1.435E-4
4.30,1.781E-4
4.40,2.247E-4
4.50,2.978E-4
4.60,7.437E-4
